RANK	NAME	INSTITUTION	H-INDEX	CITATIONS
494	Richard Durbin	Wellcome Trust Sanger Institute	101	89020
495	Jeffrey Pfeffer	Stanford University	101	79816
496	Shelley E Taylor	University of California Los Angeles	101	65921
497	Sang Yup Lee	Korea Advanced Institute of Science and Technology KAIST	101	60297
498	Ph Gabriel Steg	Université Paris 7 Diderot Sorbonne Paris-Cité	101	58143
499	Yi Sun	Statistical and Applied Mathematical Sciences Institute	101	57846
500	Fernando Barreiro	Universidad Autonoma de Madrid	101	55614
501	Pak Sham	University of Hong Kong	101	51681
502	Giovanni Marchiori	IN2P3	101	51091
503	Laurence Steinberg	Temple University	101	50550
504	Gagan Mohanty	Tata Institute of Fundamental Research	101	49225
505	Martin Sevior	University of Melbourne	101	47334
506	E W Meijer	Eindhoven University of Technology	101	47319
507	Mariano Barbacid	Centro Nacional de Investigaciones Oncológicas CNIO	101	46621
508	D Das	BARC	101	46056
509	Jesse A Berlin	Janssen Research and Development	101	45219
510	Michael Neale	Virginia Commonwealth University	101	44989
511	Terence G Langdon	University of Southampton University of Southern California	101	42641
512	Vincent Rajkumar	Mayo Clinic	101	41279
513	P W Gold	National Institutes of Health NIH	101	40604
514	William C Sessa	Yale University	101	39832
516	Donald F Hunt	University of Virginia	101	38417
517	Kian Fan Chung	Imperial College London	101	37994
518	Adriano Aguzzi	University Hospital Zurich	101	37979
519	Doug Soltis	University of Florida	101	37745
520	Greg J Duncan	University of California Irvine	101	37625
521	Steve McGrath	Rothamsted Research Harpenden	101	37163
522	Peter Vandenabeele	Ghent University	101	36412
523	William M Pardridge	University of California Los Angeles	101	35822
524	Richard Mathies	University of California Berkeley	101	35282
525	Richard A Mathies	University of California Berkeley	101	35221
526	Scott L Friedman	Icahn School of Medicine at Mount Sinai	101	34095
527	James Swanson	University of California Irvine	101	32977
528	Arkady Tseytlin	Imperial College London	101	30304
529	Chris Somerville	University of California Berkeley	101	29348
515	V N Vapnik	NEC Labs America 	100	138447
530	Antonio Damasio	University of Southern California	100	93487
531	Mostafa A El Sayed	Georgia Institute of Technology	100	64598
532	Barry Simon	California Institute of Technology	100	57660
533	Jacob (Jaap) Seidell	VU University Amsterdam	100	53536
534	Anthony Howell	University of Manchester	100	51178
535	Tom Tyler	Yale University	100	51128
536	Randy Katz	University of California Berkeley	100	51125
537	Fabrizio Palla	Istituto Nazionale di Fisica Nucleare	100	48627
538	Simin Liu	Brown University	100	48318
539	Simon Levin	Princeton University	100	47259
540	E Tory Higgins	Columbia University	100	45097
541	A S Slutsky	University of Toronto	100	41029
542	José Ordovás	Tufts University	100	40987
543	Ian Deary	University of Edinburgh	100	40982
544	Paul Falkowski	Rutgers University	100	40408
545	Daphne Koller	Stanford University	100	40242
546	Milton Saier	University of California San Diego	100	39883
547	David Hafler	Yale University	100	39474
548	Sergei A Voloshin	Wayne State University	100	38642
549	Peter McGuffin	King's College London	100	37981
550	Donald F Hunt	University of Virginia	100	37679
551	Carl June	University of Pennsylvania	100	36056
552	Dennis Baldocchi	University of California Berkeley	100	36034
553	John Mekalanos	Harvard University	100	35155
554	Motoharu Seiki	University of Tokyo	100	34841
555	Julian Schroeder	University of California San Diego	100	30586
556	John H Morrison	Icahn School of Medicine at Mount Sinai	100	29201
